,code,official_name,name
0,ABW,Aruba,Aruba
1,AFG,Afghanistan,Afghanistan
2,AGO,Angola,Angola
3,AIA,Anguilla,Anguilla
4,ALA,Åland Islands,Åland Islands
5,ALB,Albania,Albania
6,AND,Andorra,Andorra
7,ARE,United Arab Emirates,United Arab Emirates
8,ARG,Argentina,Argentina
9,ARM,Armenia,Armenia
10,ASM,American Samoa,American Samoa
11,ATA,Antarctica,Antarctica
12,ATF,French Southern Territories,French Southern Territories
13,ATG,Antigua and Barbuda,Antigua and Barbuda
14,AUS,Australia,Australia
15,AUT,Austria,Austria
16,AZE,Azerbaijan,Azerbaijan
17,BDI,Burundi,Burundi
18,BEL,Belgium,Belgium
19,BEN,Benin,Benin
20,BES,"Bonaire, Sint Eustatius and Saba","Bonaire, Sint Eustatius and Saba"
21,BFA,Burkina Faso,Burkina Faso
22,BGD,Bangladesh,Bangladesh
23,BGR,Bulgaria,Bulgaria
24,BHR,Bahrain,Bahrain
25,BHS,Bahamas,Bahamas
26,BIH,Bosnia and Herzegovina,Bosnia and Herzegovina
27,BLM,Saint Barthélemy,Saint Barthélemy
28,BLR,Belarus,Belarus
29,BLZ,Belize,Belize
30,BMU,Bermuda,Bermuda
31,BOL,"Bolivia, Plurinational State of","Bolivia, Plurinational State of"
32,BRA,Brazil,Brazil
33,BRB,Barbados,Barbados
34,BRN,Brunei Darussalam,Brunei Darussalam
35,BTN,Bhutan,Bhutan
36,BVT,Bouvet Island,Bouvet Island
37,BWA,Botswana,Botswana
38,CAF,Central African Republic,Central African Republic
39,CAN,Canada,Canada
40,CCK,Cocos (Keeling) Islands,Cocos (Keeling) Islands
41,CHE,Switzerland,Switzerland
42,CHL,Chile,Chile
43,CHN,China,China
44,CIV,Côte d'Ivoire,Côte d'Ivoire
45,CMR,Cameroon,Cameroon
46,COD,"Congo, The Democratic Republic of the","Congo, The Democratic Republic of the"
47,COG,Congo,Congo
48,COK,Cook Islands,Cook Islands
49,COL,Colombia,Colombia
50,COM,Comoros,Comoros
51,CPV,Cabo Verde,Cabo Verde
52,CRI,Costa Rica,Costa Rica
53,CUB,Cuba,Cuba
54,CUW,Curaçao,Curaçao
55,CXR,Christmas Island,Christmas Island
56,CYM,Cayman Islands,Cayman Islands
57,CYP,Cyprus,Cyprus
58,CZE,Czechia,Czechia
59,DEU,Germany,Germany
60,DJI,Djibouti,Djibouti
61,DMA,Dominica,Dominica
62,DNK,Denmark,Denmark
63,DOM,Dominican Republic,Dominican Republic
64,DZA,Algeria,Algeria
65,ECU,Ecuador,Ecuador
66,EGY,Egypt,Egypt
67,ERI,Eritrea,Eritrea
68,ESH,Western Sahara,Western Sahara
69,ESP,Spain,Spain
70,EST,Estonia,Estonia
71,ETH,Ethiopia,Ethiopia
72,FIN,Finland,Finland
73,FJI,Fiji,Fiji
74,FLK,Falkland Islands (Malvinas),Falkland Islands (Malvinas)
75,FRA,France,France
76,FRO,Faroe Islands,Faroe Islands
77,FSM,"Micronesia, Federated States of","Micronesia, Federated States of"
78,GAB,Gabon,Gabon
79,GBR,United Kingdom,United Kingdom
80,GEO,Georgia,Georgia
81,GGY,Guernsey,Guernsey
82,GHA,Ghana,Ghana
83,GIB,Gibraltar,Gibraltar
84,GIN,Guinea,Guinea
85,GLP,Guadeloupe,Guadeloupe
86,GMB,Gambia,Gambia
87,GNB,Guinea-Bissau,Guinea-Bissau
88,GNQ,Equatorial Guinea,Equatorial Guinea
89,GRC,Greece,Greece
90,GRD,Grenada,Grenada
91,GRL,Greenland,Greenland
92,GTM,Guatemala,Guatemala
93,GUF,French Guiana,French Guiana
94,GUM,Guam,Guam
95,GUY,Guyana,Guyana
96,HKG,Hong Kong,Hong Kong
97,HMD,Heard Island and McDonald Islands,Heard Island and McDonald Islands
